Scores,Indicators
51.76,B.2.4 Animal Biodiversity
21.91,B.2.4 Animal Biodiversity
53.16,B.2.4 Animal Biodiversity
47.6,B.2.4 Animal Biodiversity
79.26,B.2.4 Animal Biodiversity
46.51,B.2.4 Animal Biodiversity
34.73,B.2.4 Animal Biodiversity
44.73,B.2.4 Animal Biodiversity
35.73,B.2.4 Animal Biodiversity
33.41,B.2.4 Animal Biodiversity
30.4,B.2.4 Animal Biodiversity
25.7,B.2.4 Animal Biodiversity
51.47,B.2.4 Animal Biodiversity
40.6,B.2.4 Animal Biodiversity
21.98,B.2.4 Animal Biodiversity
36.85,B.2.4 Animal Biodiversity
53.35,B.2.4 Animal Biodiversity
58.9,B.2.4 Animal Biodiversity
54.85,B.2.4 Animal Biodiversity
37.2,B.2.4 Animal Biodiversity
53.5,B.2.4 Animal Biodiversity
50.68,B.2.4 Animal Biodiversity
47.48,B.2.4 Animal Biodiversity
51.36,B.2.4 Animal Biodiversity
37.03,B.2.4 Animal Biodiversity
32.8,B.2.4 Animal Biodiversity
9.61,B.2.4 Animal Biodiversity
40.28,B.2.4 Animal Biodiversity
19.59,B.2.4 Animal Biodiversity
49.87,B.2.4 Animal Biodiversity
53.33,B.2.4 Animal Biodiversity
